,date_time,cash,pos_399300.SZ,mkv_399300.SZ,mkt_value
0,2005-01-04,10000000.0,0,0.0,10000000.0
1,2005-01-05,10000000.0,0,0.0,10000000.0
2,2005-01-06,10000000.0,0,0.0,10000000.0
3,2005-01-07,10000000.0,0,0.0,10000000.0
4,2005-01-10,10000000.0,0,0.0,10000000.0
5,2005-01-11,10000000.0,0,0.0,10000000.0
6,2005-01-12,10000000.0,0,0.0,10000000.0
7,2005-01-13,10000000.0,0,0.0,10000000.0
8,2005-01-14,10000000.0,0,0.0,10000000.0
9,2005-01-17,10000000.0,0,0.0,10000000.0
10,2005-01-18,10000000.0,0,0.0,10000000.0
11,2005-01-19,10000000.0,0,0.0,10000000.0
12,2005-01-20,10000000.0,0,0.0,10000000.0
13,2005-01-21,10000000.0,0,0.0,10000000.0
14,2005-01-24,10000000.0,0,0.0,10000000.0
15,2005-01-25,10000000.0,0,0.0,10000000.0
16,2005-01-26,10000000.0,0,0.0,10000000.0
17,2005-01-27,10000000.0,0,0.0,10000000.0
18,2005-01-28,10000000.0,0,0.0,10000000.0
19,2005-01-31,10000000.0,0,0.0,10000000.0
20,2005-02-01,10000000.0,0,0.0,10000000.0
21,2005-02-02,10000000.0,0,0.0,10000000.0
22,2005-02-03,10000000.0,0,0.0,10000000.0
23,2005-02-04,10000000.0,0,0.0,10000000.0
24,2005-02-16,10000000.0,0,0.0,10000000.0
25,2005-02-17,10000000.0,0,0.0,10000000.0
26,2005-02-18,10000000.0,0,0.0,10000000.0
27,2005-02-21,10000000.0,0,0.0,10000000.0
28,2005-02-22,10000000.0,0,0.0,10000000.0
29,2005-02-23,10000000.0,0,0.0,10000000.0
30,2005-02-24,10000000.0,0,0.0,10000000.0
31,2005-02-25,10000000.0,0,0.0,10000000.0
32,2005-02-28,10000000.0,0,0.0,10000000.0
33,2005-03-01,10000000.0,0,0.0,10000000.0
34,2005-03-02,10000000.0,0,0.0,10000000.0
35,2005-03-03,10000000.0,0,0.0,10000000.0
36,2005-03-04,10000000.0,0,0.0,10000000.0
37,2005-03-07,10000000.0,0,0.0,10000000.0
38,2005-03-08,10000000.0,0,0.0,10000000.0
39,2005-03-09,10000000.0,0,0.0,10000000.0
40,2005-03-10,10000000.0,0,0.0,10000000.0
41,2005-03-11,10000000.0,0,0.0,10000000.0
42,2005-03-14,10000000.0,0,0.0,10000000.0
43,2005-03-15,10000000.0,0,0.0,10000000.0
44,2005-03-16,10000000.0,0,0.0,10000000.0
45,2005-03-17,10000000.0,0,0.0,10000000.0
46,2005-03-18,10000000.0,0,0.0,10000000.0
47,2005-03-21,10000000.0,0,0.0,10000000.0
48,2005-03-22,10000000.0,0,0.0,10000000.0
49,2005-03-23,10000000.0,0,0.0,10000000.0
50,2005-03-24,10000000.0,0,0.0,10000000.0
51,2005-03-25,10000000.0,0,0.0,10000000.0
52,2005-03-28,10000000.0,0,0.0,10000000.0
53,2005-03-29,10000000.0,0,0.0,10000000.0
54,2005-03-30,10000000.0,0,0.0,10000000.0
55,2005-03-31,10000000.0,0,0.0,10000000.0
56,2005-04-01,10000000.0,0,0.0,10000000.0
57,2005-04-04,10000000.0,0,0.0,10000000.0
58,2005-04-05,10000000.0,0,0.0,10000000.0
59,2005-04-06,10000000.0,0,0.0,10000000.0
60,2005-04-07,10000000.0,0,0.0,10000000.0
61,2005-04-08,10000000.0,0,0.0,10000000.0
62,2005-04-11,10000000.0,0,0.0,10000000.0
63,2005-04-12,10000000.0,0,0.0,10000000.0
64,2005-04-13,10000000.0,0,0.0,10000000.0
65,2005-04-14,10000000.0,0,0.0,10000000.0
66,2005-04-15,10000000.0,0,0.0,10000000.0
67,2005-04-18,10000000.0,0,0.0,10000000.0
68,2005-04-19,10000000.0,0,0.0,10000000.0
69,2005-04-20,10000000.0,0,0.0,10000000.0
70,2005-04-21,10000000.0,0,0.0,10000000.0
71,2005-04-22,10000000.0,0,0.0,10000000.0
